0x5335 0x691F  // 匵 椟
0x6ADD 0x691F  // 櫝 椟
0x7258 0x724D  // 牘 牍
0x72A2 0x728A  // 犢 犊
0x9EF7 0x9EE9  // 黷 黩
0x7368 0x72EC  // 獨 独
0x7BE4 0x7B03  // 篤 笃
0x8CED 0x8D4C  // 賭 赌
0x89A9 0x7779  // 覩 睹
0x59AC 0x5992  // 妬 妒
0x934D 0x9540  // 鍍 镀
0x8011 0x7AEF  // 耑 端
0x65B7 0x65AD  // 斷 断
0x7DDE 0x7F0E  // 緞 缎
0x7146 0x7145  // 煆 煅
0x935B 0x953B  // 鍛 锻
0x7C6A 0x7C16  // 籪 簖
0x968A 0x961F  // 隊 队
0x5C0D 0x5BF9  // 對 对
0x514C 0x5151  // 兌 兑
0x61DF 0x603C  // 懟 怼
0x9413 0x9566  // 鐓 镦
0x5678 0x5428  // 噸 吨
0x58AA 0x58A9  // 墪 墩
0x8E89 0x8DB8  // 躉 趸
0x71C9 0x7096  // 燉 炖
0x920D 0x949D  // 鈍 钝
0x9813 0x987F  // 頓 顿
0x906F 0x9041  // 遯 遁
0x596A 0x593A  // 奪 夺
0x9438 0x94CE  // 鐸 铎
0x6736 0x6735  // 朶 朵
0x579C 0x579B  // 垜 垛
0x7D9E 0x7F0D  // 綞 缍
0x58AE 0x5815  // 墮 堕
0x8DE5 0x8DFA  // 跥 跺
0x8A1B 0x8BB9  // 訛 讹
0x8B4C 0x8BB9  // 譌 讹
0x5CE9 0x5CE8  // 峩 峨
0x92E8 0x9507  // 鋨 锇
0x9D5D 0x9E45  // 鵝 鹅
0x9D5E 0x9E45  // 鵞 鹅
0x984D 0x989D  // 額 额
0x5A3F 0x5A40  // 娿 婀
0x6239 0x5384  // 戹 厄
0x9628 0x5384  // 阨 厄
0x8EDB 0x8F6D  // 軛 轭
0x580A 0x57A9  // 堊 垩
0x60E1 0x6076  // 惡 恶
0x5641 0x6076  // 噁 恶
0x9913 0x997F  // 餓 饿
0x8AE4 0x8C14  // 諤 谔
0x95BC 0x960F  // 閼 阏
0x855A 0x843C  // 蕚 萼
0x9F76 0x816D  // 齶 腭
0x9354 0x9537  // 鍔 锷
0x9D9A 0x9E57  // 鶚 鹗
0x984E 0x989A  // 顎 颚
0x9C10 0x9CC4  // 鰐 鳄
0x9C77 0x9CC4  // 鱷 鳄
0x5152 0x513F  // 兒 儿
0x9D2F 0x9E38  // 鴯 鸸
0x9B9E 0x9C95  // 鮞 鲕
0x723E 0x5C14  // 爾 尔
0x9087 0x8FE9  // 邇 迩
0x990C 0x9975  // 餌 饵
0x927A 0x94D2  // 鉺 铒
0x8CB3 0x8D30  // 貳 贰
0x767C 0x53D1  // 發 发
0x9AEE 0x53D1  // 髮 发
0x7F70 0x7F5A  // 罰 罚
0x7F78 0x7F5A  // 罸 罚
0x95A5 0x9600  // 閥 阀
0x704B 0x6CD5  // 灋 法
0x743A 0x73D0  // 琺 珐
0x98BF 0x5E06  // 颿 帆
0x98DC 0x7FFB  // 飜 翻
0x7E59 0x7FFB  // 繙 翻
0x51E3 0x51E1  // 凣 凡
0x792C 0x77FE  // 礬 矾
0x91E9 0x9492  // 釩 钒
0x7169 0x70E6  // 煩 烦
0x7DD0 0x7E41  // 緐 繁
0x6C3E 0x6CDB  // 氾 泛
0x6C4E 0x6CDB  // 汎 泛
0x98EF 0x996D  // 飯 饭
0x7BC4 0x8303  // 範 范
0x8CA9 0x8D29  // 販 贩
0x9201 0x94AB  // 鈁 钫
0x9B74 0x9C82  // 魴 鲂
0x5FAC 0x4EFF  // 徬 仿
0x5023 0x4EFF  // 倣 仿
0x9AE3 0x4EFF  // 髣 仿
0x8A2A 0x8BBF  // 訪 访
0x7D21 0x7EBA  // 紡 纺
0x98DB 0x98DE  // 飛 飞
0x7DCB 0x7EEF  // 緋 绯
0x9BE1 0x9CB1  // 鯡 鲱
0x8AB9 0x8BFD  // 誹 诽
0x5EE2 0x5E9F  // 廢 废
0x8CBB 0x8D39  // 費 费
0x75BF 0x75F1  // 疿 痱
0x9428 0x9544  // 鐨 镄
0x7D1B 0x7EB7  // 紛 纷
0x96F0 0x6C1B  // 雰 氛
0x58B3 0x575F  // 墳 坟
0x596E 0x594B  // 奮 奋
0x50E8 0x507E  // 僨 偾
0x61A4 0x6124  // 憤 愤
0x7CDE 0x7CAA  // 糞 粪
0x9C5D 0x9CBC  // 鱝 鲼
0x8C50 0x4E30  // 豐 丰
0x98A8 0x98CE  // 風 风
0x7043 0x6CA3  // 灃 沣
0x6953 0x67AB  // 楓 枫
0x760B 0x75AF  // 瘋 疯
0x78B8 0x781C  // 碸 砜
0x5CEF 0x5CF0  // 峯 峰
0x92D2 0x950B  // 鋒 锋
0x99AE 0x51AF  // 馮 冯
0x7E2B 0x7F1D  // 縫 缝
0x8AF7 0x8BBD  // 諷 讽
0x9CF3 0x51E4  // 鳳 凤
0x5F7F 0x4F5B  // 彿 佛
0x4F15 0x592B  // 伕 夫
0x819A 0x80A4  // 膚 肤
0x9EA9 0x9EB8  // 麩 麸
0x7CB0 0x9EB8  // 粰 麸
0x9CE7 0x51EB  // 鳧 凫
0x7D31 0x7EC2  // 紱 绂
0x7D3C 0x7ECB  // 紼 绋
0x8F3B 0x8F90  // 輻 辐
0x8946 0x5E5E  // 襆 幞
0x5638 0x5452  // 嘸 呒
0x64AB 0x629A  // 撫 抚
0x4FDB 0x4FEF  // 俛 俯
0x982B 0x4FEF  // 頫 俯
0x8F14 0x8F85  // 輔 辅
0x8A03 0x8BA3  // 訃 讣
0x5A66 0x5987  // 婦 妇
0x8CA0 0x8D1F  // 負 负
0x577F 0x9644  // 坿 附
0x99D9 0x9A78  // 駙 驸
0x8907 0x590D  // 複 复
0x5FA9 0x590D  // 復 复
0x8CE6 0x8D4B  // 賦 赋
0x7E1B 0x7F1A  // 縛 缚
0x9B92 0x9C8B  // 鮒 鲋
0x8CFB 0x8D59  // 賻 赙
0x9C12 0x9CC6  // 鰒 鳆
0x91D3 0x9486  // 釓 钆
0x5620 0x560E  // 嘠 嘎
0x8A72 0x8BE5  // 該 该
0x8CC5 0x8D45  // 賅 赅
0x5303 0x4E10  // 匃 丐
0x5304 0x4E10  // 匄 丐
0x9223 0x9499  // 鈣 钙
0x84CB 0x76D6  // 蓋 盖
0x69E9 0x6982  // 槩 概
0x5E79 0x5E72  // 幹 干
0x69A6 0x5E72  // 榦 干
0x687F 0x6746  // 桿 杆
0x5C32 0x5C34  // 尲 尴
0x5C37 0x5C34  // 尷 尴
0x7A08 0x79C6  // 稈 秆
0x8D95 0x8D76  // 趕 赶
0x7D3A 0x7EC0  // 紺 绀
0x8D1B 0x8D63  // 贛 赣
0x5CA1 0x5188  // 岡 冈
0x525B 0x521A  // 剛 刚
0x5D17 0x5C97  // 崗 岗
0x7DB1 0x7EB2  // 綱 纲
0x7598 0x809B  // 疘 肛
0x92FC 0x94A2  // 鋼 钢
0x69D3 0x6760  // 槓 杠
0x6207 0x6206  // 戇 戆
0x81EF 0x768B  // 臯 皋
0x6A70 0x69D4  // 橰 槔
0x993B 0x7CD5  // 餻 糕
